id,date,raw_material_id,name,category,purchase_type,stock_used,unit,current_stock
1,2025-03-23,RM019,Daging Ayam,Daging,daily,805,gram,4329
2,2025-01-28,RM003,Gula Pasir,Gula,bulk,233,gram,2839
3,2025-04-12,RM019,Daging Ayam,Daging,daily,951,gram,4173
4,2025-05-04,RM010,Cokelat Bubuk,Cokelat,bulk,292,gram,4214
5,2025-02-06,RM019,Daging Ayam,Daging,daily,846,gram,1683
6,2025-02-21,RM016,Tomat,Sayuran,daily,382,gram,2957
7,2025-03-26,RM002,Susu UHT,Susu,bulk,771,ml,1824
8,2025-02-11,RM019,Daging Ayam,Daging,daily,714,gram,3641
9,2025-05-09,RM018,Wortel,Sayuran,daily,862,gram,5804
10,2025-03-12,RM015,Selada,Sayuran,daily,689,gram,4629
11,2025-02-24,RM013,Mangga,Buah,daily,52,gram,3298
12,2025-05-07,RM003,Gula Pasir,Gula,bulk,51,gram,1558
13,2025-04-22,RM020,Daging Sapi,Daging,daily,787,gram,2900
14,2025-01-20,RM001,Kopi Arabika,Kopi,bulk,68,gram,2856
15,2025-05-02,RM014,Nanas,Buah,daily,125,gram,4122
16,2025-01-09,RM009,Whipping Cream,Susu,bulk,153,ml,4712
17,2025-05-13,RM012,Stroberi,Buah,daily,765,gram,3118
18,2025-01-28,RM012,Stroberi,Buah,daily,754,gram,3433
19,2025-05-02,RM017,Mentimun,Sayuran,daily,506,gram,5001
20,2025-01-04,RM017,Mentimun,Sayuran,daily,231,gram,1285
21,2025-03-21,RM017,Mentimun,Sayuran,daily,484,gram,2808
22,2025-04-19,RM014,Nanas,Buah,daily,437,gram,1434
23,2025-02-04,RM016,Tomat,Sayuran,daily,979,gram,2825
24,2025-03-28,RM005,Sirup Cokelat,Sirup,bulk,812,ml,3731
25,2025-05-11,RM013,Mangga,Buah,daily,709,gram,2204
26,2025-01-06,RM016,Tomat,Sayuran,daily,123,gram,771
27,2025-04-19,RM020,Daging Sapi,Daging,daily,408,gram,4096
28,2025-04-07,RM007,Espresso Blend,Kopi,bulk,940,gram,4034
29,2025-01-08,RM017,Mentimun,Sayuran,daily,328,gram,1828
30,2025-03-28,RM008,Air Mineral,Air,bulk,727,ml,4128
31,2025-04-29,RM017,Mentimun,Sayuran,daily,220,gram,4082
32,2025-02-08,RM003,Gula Pasir,Gula,bulk,999,gram,3282
33,2025-01-18,RM015,Selada,Sayuran,daily,117,gram,3005
34,2025-02-11,RM015,Selada,Sayuran,daily,568,gram,1522
35,2025-04-18,RM006,Matcha Powder,Teh,bulk,943,gram,4643
36,2025-05-21,RM005,Sirup Cokelat,Sirup,bulk,185,ml,2226
37,2025-05-20,RM011,Pisang,Buah,daily,662,gram,1616
38,2025-01-06,RM018,Wortel,Sayuran,daily,599,gram,3696
39,2025-01-02,RM005,Sirup Cokelat,Sirup,bulk,359,ml,5285
40,2025-04-11,RM001,Kopi Arabika,Kopi,bulk,311,gram,4938
41,2025-03-13,RM008,Air Mineral,Air,bulk,731,ml,2273
42,2025-05-18,RM005,Sirup Cokelat,Sirup,bulk,477,ml,1901
43,2025-02-11,RM003,Gula Pasir,Gula,bulk,169,gram,3087
44,2025-01-15,RM011,Pisang,Buah,daily,736,gram,1887
45,2025-03-17,RM004,Sirup Vanilla,Sirup,bulk,960,ml,5613
46,2025-05-14,RM008,Air Mineral,Air,bulk,680,ml,2333
